Кандзи,Значение,On,Kun,Номер,例,Level
禁,запрет,キン,—,902,,3
祝,праздновать; поздравлять,シュク,いわ-う,903,,3
効,эффект,コウ,きく,904,,2
巨,гигантский,キョ,―,905,,2
湖,озеро,コ,みずうみ,906,,3
較,contrast,,,907,,
率,показатель ,ソツ・リツ,ひき-いる,908,,3
整,приводить в порядок,セイ,ととのえる・ととのう,909,,
柔,мягкий; нежный,ジュウ,やわ-らかい,910,,2
灰,пепел,カイ,はい,911,,2
塔,башня ,トウ,—,912,,2
賞,награда,ショウ,ほ-める,913,,2
枯,засыхать; вянуть ,コ,か-れる,914,,2
招,приглашать; звать; навлекать,ショウ,まね-く,915,,3
麦,зерновые,バク,むぎ,916,,2
塗,намазывать; красить,ト,ぬ-る・まみ-れる,917,,2
塩,соль,エン,しお,918,,2
超,сверх-; превышать; превосходить,チョウ,こ-える・こ-す,919,,2
損,убыток; портить; ранить ,ソン ,そこ-なう・そこ-ねる,920,,2
掘,копать; рыть; бурить,クツ,ほ-る,921,,2
爆,взрыв,バク,は-ぜる,922,,2
央,центр,オウ,―,923,,2
脳,Мозг,ノウ,—,924,,2
課,раздел,カ,—,925,,3
暖,warmth,,,926,,
協,сотрудничество,キョウ,—,927,,3
肌,кожа; голое тело,キ,はだ,928,,2
倍,Двойной,バイ,―,929,,2
忙,занятой,ボウ,いそが-しい,930,,3
宙,,,,931,,
匹,сч. суф. для мелких животных,ヒツ,ひき,932,,2
替,обмен,タイ,か-える,933,,2
賢,мудрость; умный; мудрый ,ケン,かしこ-い,934,,2
臓,внутренности; кишечник; кишка; кишки; потроха,ゾウ,―,935,,2
季,сезон,キ,—,936,,3
測,измерять; мерить; взвешивать ,ソク,はか-る,937,,3
符,ярлык; знак; талон; билет; метка; амулет,フ,—,938,,2
委,поручать; доверять,イ,ゆだ-ねる,939,,2
紹,знакомить; представлять,ショウ,—,940,,2
捜,искать; разыскивать,ソウ,さが-す,941,,2
補,восполнять; пополнять; возмещать; компенсировать ,ホ ,おぎな-う,942,,2
競,состязаться; соперничать,キョウ,きそ-う,943,,3
拡,,,,944,,
複,двойной; сложный,フク,—,945,,3
担,нести (на плече); иметь во главе; подшутить; нести обязанности ,タン,かつ-ぐ・にな-う,946,,2
曇,пасмурный; быть пасмурным; облачность ,ドン,くも-る・くも-り,947,,2
双,пара; оба ,ソウ,ふた,948,,2
採,добывать; брать ,サイ,と-る,949,,2
涼,прохладный; свежий; наслаждаться прохладой ,リョウ・すずしい・すずむ ,すず-しい・すず-む,950,,2
港,порт; гавань,コウ,みなと,951,,3
炭,уголь,タン,すみ,952,,2
皿,тарелка,ベイ,さら,953,,3
環,ring,,,954,,
磨,шлифовать; полировать; чистить (зубы) ,マ,みが-く,955,,2
漁,рыбачить,ギョ・リョウ,あさ-る,956,,2
訓,наставление; поучение; японское чтение иероглифа,クン,—,957,,3
菓,сладости ,カ,—,958,,2
綿,хлопок; вата ,メン,わた,959,,2
掃,sweep,,,960,,2
冊,том; книга,サツ,―,961,,2
昇,повышение; взбираться; получать повышение,ショウ,のぼ-る,962,,2
預,депозит; отдавать на хранение; брать на хранение,ヨ,あず-ける・あず-かる,963,,2
税,налог; пошлина ,ゼイ ,—,964,,2
幅,ширина ,フク,はば,965,,2
刊,издание; выпуск,カン,—,966,,3
域,район; пределы; границы; стадия; уровень ,イキ,—,967,,2
銅,медь,ドウ,あかがね,968,,2
筒,труба; муфта,トウ,つつ,969,,2
絡,зацепляться; обвиваться; цепляться; обвивать,ラク ,から-む・から-まる・から-める,970,,2
署,контора; полицейский участок; подпись,しょ,—,971,,2
畜,скотина; домашние животные ,チク,,972,,2
