項目,言葉,読み方,翻訳,例,例の翻訳,,内容の読み,同,同の読み方,対,対の読み方,
,問い合わせる,,,いつから予約できるか、問い合わせてみた。,,,,,,,,
,問い合わせ,,,お問い合わせは下記まで。,,,,,,,,
,話題,,,彼は話題が豊富ですね。,,,,,,,,
,言いかける,,,彼女は、何か言いかけて、途中でやめた。,,,,,,,,
,話しかける,,,彼はすごく忙しそうで、話しかけられない。,,,,,,,,
,呼びかける,,,被害が拡大しないよう、警察が注意を呼びかけている。,,,,,,,,
,ささやく,,,そんなささやくような小さい声じゃ聞こえないよ。,,,,,,,,
,発見(する),,,大臣の発言が問題になっている。,,,,,,,,
,演説(する),,,もうすぐ大統領の演説が始まるよ。,,,,,,,,
,話し合う,,,今後のことについて、みんなでよく話し合ってください。,,,,,,,,
,論じる/論ずる,ろんじる/ろんずる,,<司会>次は、安全性について論じたいと思います。,,,,,,,,
,論争(する),,,消費税をめぐって、激しい論争が起きている。,,,,,,,,
,解説(する),,,この参考書は解説が丁寧です。,,,,,,,,
,コメント(する),,,作品について、先生からコメントをもらった。,,,,,,,,
,文句,,,作ってあげたんだから、文句を言わずに食べた。◇文句があったら、会社に言って。◇宣伝文句、誘い文句、決まり文句。,,,,,,,,
,愚痴,ぐち,,彼女は最近、会うといつも会社の愚痴を言う。,,,,,,,,
,不平,,,彼は不平を言うばかりで、自分では何もしようとしない。,,,,,,,,
,一言,,,最後に一言言わせてください。,,,,,,,,
,言付け,,,原さん、いないの?　じゃ、言付けを頼んでもいい?◇言付ける,,,,,,,,
,早口,,,佐藤さんは興奮すると早口になる。,,,,,,,,
,うなずく/うなづく,,,私が説明すると、彼はうなづき、「問題ありません」と言った。,,,,,,,,
天気・天候,天候,,,小さい飛行機なので、天候によっては、多少揺れることがあります。,,,,,,,,
,快晴,,,その日は雲一つない快晴だった。,,,,,,,,
,夕立,,,「あわっ、雨だ」「夕立だから、すぐ止むよ」,,,,,,,,
,大雨,,,昨夜の大雨で川の水が急激に増えた。,,,,,,,,
,ざあざあ,,,「どう?　雨は?　やみそうにない?」「うん。ざあざあ降ってる」,,,,,,,,
,雷が落ちる,,,,,,,,,,,
,警報,,,<テレビ>今、県南部に大雨警報が出ています。,,,,,,,,
,霧,きり,,「霧が出てきたら、前が見えにくいよ」「運転、気をつけて」◇霧が晴れる,,,,,,,,
,霜,しも,,「最近、寒いね」「うん。うちの庭にも、今朝、霜降りてたよ」◇霜が降りる,,,,,,,,
,吹雪,,,吹雪で何も見えなくなった。◇吹雪く,,,,,,,,
,湿気,,,この時期は湿気が多くて、洗濯物がなかなか乾かない。,,,,,,,,
,梅雨が明ける,,,,,,,,,,,
,大気,,,大気中には、様々な有害物質も含まれている。◇大気汚染,,,,,,,,
,気圧,,,では、天気図、現在の気圧の様子を見てみましょう。,,,,,,,,
,高気圧,,,明日は全国的に高気圧に覆われ、よく晴れるでしょう。,,,,,,,,
,低気圧,,,<天気予報>発達した低気圧によって、各地で激しい雨が降っています。,,,,,,,,
,温暖(な),,,ここは年中温暖な気候なので、とても暮らしやすいです。,,,,,,,,
,温帯,,,温帯低気圧,,,,,,,,
,寒帯,,,,,,,,,,,
,熱帯,,,熱帯のジャングル,,,,,,,,
お金,現金,,,お支払いは、現金とカード，どちらになさいますか。,,,,,,,,
,キャッシュ,,,キャッシュで払う,,,,,,,,
,金銭,,,この事件は、金銭関係のトラブルが原因らしい。,,,,,,,,
,大金,,,500万円もの大金を、彼はどうやって集めたんだろう。,,,,,,,,
,紙幣,,,,,,,,,,,
,為替,,,今日の為替レートはどれくらいですか。,,,,,,,,
,銀行口座,,,銀行口座を開く,,,,,,,,
,送金(する),,,海外に送金する時は、手数料がかなりかかる。,,,,,,,,
,納める,,,家賃が毎月、月末に納めています。◇税金を納める、家賃を納める,,,,,,,,
,関税,,,これらの輸入品は関税がかかっているから、どうしても値段が高くなる。◇関税の引き上げ,,,,,,,,
,課税(する),,,家賃などの収入も課税されます。,,,,,,,,
,請求(する),,,こちらにミスがあったので、代金を請求するつもりはありません。◇請求書,,,,,,,,
,代金,,,旅行の代金は、出発前に払うことになっています。,,,,,,,,
,手数料,,,部屋を借りるときは、不動産屋に手数料を払わなければならない。,,,,,,,,
,引く,,,サービスで200円引いてくれた。,,,,,,,,
,割り引く,,,ちょっと傷があったので、1000円を割り引いてくれた。◇セール品は2割引きです。,,,,,,,,
,学生割引(学割),がくせいわりびき(がくわり),,電車やバスには学割がある。,,,,,,,,
,値引き(する),,,食品の場合、閉店が近づくとよく割引される。,,,,,,,,
,立て替える,,,ごめん、チケット台、立て替えといてくれる?　明日、払うから。,,,,,,,,
,借金(する),,,借金を返すため、彼は寝ずに働いた。,,,,,,,,
,破産(する),,,その後も借金は増え続け、彼はとうとう破産してしまった。,,,,,,,,
,募金(する),,,多くのすぽーつせんしゅが、募金活動に協力した。◇金額はほんの少しが、時々募金をします。,,,,,,,,
,集金(する),,,町内会費の集金に参りました。,,,,,,,,
,給与,,,毎月の給与のほか、年２回のボーナスがある。,,,,,,,,
,月給,,,,,,,,,,,
,家計,,,安い給料なので、家計は毎月苦しいです。,,,,,,,,
,出費,,,年末年始は出費が多くなる。,,,,,,,,
,無駄遣い,,,これ、前に買ったのとほとんど同じじゃない? また無駄遣いして。,,,,,,,,
,経費,,,会社から、なるべく経費を抑えるように言われている。,,,,,,,,
,コスト,,,材料にコストがかかりすぎている。◇もう少しコストを抑えよう。,,,,,,,,
,領収書,,,,,,,,,,,
,資本,,,会社を大きくしていくには、まず資本が必要です。◇資本金、社会資本「体が資本」,,,,,,,,
,資金,,,開店資金に、あと100万円ほど必要です。,,,,,,,,
,収入,,,毎月の収入はどれくらいですか。,,,,,,,,
,支出,,,収入はあまり変わらないのに、支出はちょっとずつ増えている。,,,,,,,,
,会費,,,パーティの会費、年会費,,,,,,,,
,回数券,,,何回も乗るなら、回数券の方が得だよ。,,,,,,,,
